iso3c,country,region,income_group,latest_year,gdp_per_capita_usd,health_exp_pct_gdp,health_exp_per_capita_usd,under5_mortality_per_1000
MDA,Moldova,Europe & Central Asia,Upper middle income,2023,6799.58594644576,6.7359705,451.73007202,16.2
MCO,Monaco,Europe & Central Asia,High income,2023,256799.911212051,3.11959291,8004.16845703,2.7
MNG,Mongolia,East Asia & Pacific,Upper middle income,2023,5838.63108083902,6.07207489,359.60980225,13.6
MNE,Montenegro,Europe & Central Asia,Upper middle income,2023,12258.1600477339,9.6549921,1147.69787598,2.5
MAR,Morocco,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2023,3813.72607421875,6.06396198,232.24751282,16.3
MOZ,Mozambique,Sub-Saharan Africa,Low income,2023,622.191133245967,8.50126553,52.96166611,61.7
MMR,Myanmar,East Asia & Pacific,Lower middle income,2023,1233.19666209269,4.45748425,56.18909836,38.1
NAM,Namibia,Sub-Saharan Africa,Lower middle income,2023,4225.99102418102,9.48251629,397.09063721,41.1
NRU,Nauru,East Asia & Pacific,High income,2023,13602.6372112893,18.21076012,2292.37329102,8.7
NPL,Nepal,South Asia,Lower middle income,2023,1382.38300895424,6.15843678,83.96018982,26.1
NLD,Netherlands,Europe & Central Asia,High income,2023,63515.6030780019,9.83150005,6371.85595703,3.9
NZL,New Zealand,East Asia & Pacific,High income,2023,49302.341876493,10.12947655,4997.24316406,4.9
NIC,Nicaragua,Latin America & Caribbean,Lower middle income,2023,2609.44491147975,8.29879284,216.55238342,13.8
NER,Niger,Sub-Saharan Africa,Low income,2023,647.930108509567,4.04895782,26.01301575,113.5
NGA,Nigeria,Sub-Saharan Africa,Lower middle income,2023,2138.76383718757,4.19086456,66.82009125,116.8
MKD,North Macedonia,Europe & Central Asia,Upper middle income,2023,8674.35846327485,7.42730284,639.41693115,3.4
NOR,Norway,Europe & Central Asia,High income,2023,90984.4087141111,9.42925453,8296.35546875,2.4
OMN,Oman,"Middle East, North Africa, Afghanistan & Pakistan",High income,2023,21027.7384572657,3.49047446,732.04089355,10.4
PAK,Pakistan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2023,1360.32417758419,2.51988316,30.48608398,57.8
PLW,Palau,East Asia & Pacific,High income,2023,15578.3497630733,10.85468197,1683.8458252,21.9
